Local ID	Other Protein ID	Profile superfamily	Profile ID	E-value	Identity cluster	Order of leaves in full sequence tree	Superclusters based on CARF/SAVED domain tree	Final group assignments	Genome Name	Protein Length	CDD asignments, automatic with E-value 0.0001 (CARF only)	Domain organization	TMHMM result	Current genbank annotation	Potential Ring Nucleases	RN group
MK_CARF_00011748	WP_088885147.1	CARF	CARF.89.FASTA	3.17E-51	2975	2546	CL1_CARF	CARF_m1	Thermococcus gorgonarius	154	cd09655	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100091	YP_183616.1	CARF	CARF.89.FASTA	8.72E-59	2076	2547	CL1_CARF	CARF_m1	Thermococcus kodakarensis KOD1	157	pfam09623	CARF		hypothetical protein TK1203	RN(1)	RN_2_5
MK_CARF_00011408	WP_011250154.1	CARF	CARF.89.FASTA	8.72E-59	2076	2548	CL1_CARF	CARF_m1	Thermococcus kodakarensis	157	pfam09623	CARF		DUF1887 domain-containing protein	RN(1)	RN_2_5
MK_CARF_00011468	WP_088858172.1	CARF	CARF.89.FASTA	1.44E-57	807	2549	CL1_CARF	CARF_m1	Thermococcus profundus	157	pfam09623	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011440	WP_054841556.1	CARF	CARF.89.FASTA	5.02E-58	1633	2550	CL1_CARF	CARF_m1	Thermococcus peptonophilus	157		CARF		DUF1887 domain-containing protein	RN(1)	RN_2_5
MK_CARF_00101118	ZP_11215533.1	CARF	CARF.89.FASTA	3.58E-56	780	2551	CL1_CARF	CARF_m1	Thermococcus zilligii AN1	159		CARF		hypothetical protein TzilA_02530	RN(1)	RN_2_5
MK_CARF_00100449	YP_002995392.1	CARF	CARF.89.FASTA	4.18E-62	2579	2552	CL1_CARF	CARF_m1	Thermococcus sibiricus MM 739	159	cd09747	CARF		hypothetical protein TSIB_1996	RN(1)	RN_2_5
MK_CARF_00011212	WP_015850259.1	CARF	CARF.89.FASTA	4.18E-62	2579	2553	CL1_CARF	CARF_m1	Thermococcus sibiricus	159	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_01000656	ACS91043.1	CARF	CARF.89.FASTA	4.18E-62	2579	2554	CL1_CARF	CARF_m1	Thermococcus sibiricus MM 739	159	cd09747	CARF		hypothetical protein TSIB_1996	RN(1)	RN_2_5
MK_CARF_01000657	KPU63905.1	CARF	CARF.89.FASTA	6.55E-66	524	2555	CL1_CARF	CARF_m1	Thermococcus sp. EP1	159	cd09747	CARF		hypothetical protein EP1X_01570	RN(1)	RN_2_5
MK_CARF_01000658	EHR77605.1	CARF	CARF.89.FASTA	4.16E-69	3598	2556	CL1_CARF	CARF_m1	Thermococcus litoralis DSM 5473	159	cd09747	CARF		hypothetical protein OCC_10895	RN(1)	RN_2_5
MK_CARF_00100943	ZP_09731171.1	CARF	CARF.89.FASTA	4.16E-69	3598	2557	CL1_CARF	CARF_m1	Thermococcus litoralis DSM 5473	159	cd09747	CARF		hypothetical protein OCC_10895	RN(1)	RN_2_5
MK_CARF_00010507	WP_004069949.1	CARF	CARF.89.FASTA	4.16E-69	3598	2558	CL1_CARF	CARF_m1	Thermococcus	159	cd09747	CARF		MULTISPECIES: hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100699	YP_004071025.1	CARF	CARF.89.FASTA	5.36E-69	4248	2559	CL1_CARF	CARF_m1	Thermococcus barophilus MP	156	cd09747	CARF		hypothetical protein TERMP_00825	RN(1)	RN_2_5
MK_CARF_00010511	WP_013467100.1	CARF	CARF.89.FASTA	5.36E-69	4248	2560	CL1_CARF	CARF_m1	Thermococcus barophilus	156	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010528	WP_056935000.1	CARF	CARF.89.FASTA	2.18E-68	198	2561	CL1_CARF	CARF_m1	Thermococcus barophilus	156	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010732	WP_042680269.1	CARF	CARF.89.FASTA	1.46E-66	628	2562	CL1_CARF	CARF_m1	Thermococcus paralvinellae	156	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010512	WP_048165091.1	CARF	CARF.89.FASTA	5.36E-69	840	2563	CL1_CARF	CARF_m1	Palaeococcus pacificus	156		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011447	WP_014867163.1	CARF	CARF.89.FASTA	3.11E-58	755	2564	CL1_CARF	CARF_m1	Methanoculleus bourgensis	164		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00101083	YP_006544903.1	CARF	CARF.89.FASTA	3.11E-58	755	2565	CL1_CARF	CARF_m1	Methanoculleus bourgensis MS2	164		CARF		hypothetical protein BN140_1264	RN(1)	RN_2_5
MK_CARF_00011429	WP_062263411.1	CARF	CARF.89.FASTA	1.09E-58	4145	2566	CL1_CARF	CARF_m1	Methanoculleus	164		CARF		MULTISPECIES: hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100197	YP_001047444.1	CARF	CARF.89.FASTA	3.77E-58	4479	2567	CL1_CARF	CARF_m1	Methanoculleus marisnigri JR1	170		CARF		hypothetical protein Memar_1533	RN(1)	RN_2_5
MK_CARF_00011441	WP_011844373.1	CARF	CARF.89.FASTA	3.77E-58	4479	2568	CL1_CARF	CARF_m1	Methanoculleus marisnigri	170		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010658	WP_015590938.1	CARF	CARF.89.FASTA	2.82E-67	2632	2569	CL1_CARF	CARF_m1	Archaeoglobus sulfaticallidus	170		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010722	WP_048095134.1	CARF	CARF.89.FASTA	1E-66	3168	2570	CL1_CARF	CARF_m1	Archaeoglobus fulgidus	166		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00010799	WP_048090431.1	CARF	CARF.89.FASTA	5.94E-66	1291	2571	CL1_CARF	CARF_m1	Geoglobus acetivorans	156		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00101073	ZP_10433754.1	CARF	CARF.89.FASTA	1.23E-47	84	2572	CL1_CARF	CARF_m1	Methanofollis liminatans DSM 4140	161		CARF_TM	1	hypothetical protein Metli_1440	RN(1)	RN_2_5
MK_CARF_00100583	YP_003483820.1	CARF	CARF.91.FASTA	6.22E-86	3290	2573	CL1_CARF	CARF_m1	Aciduliprofundum boonei T469	139		CARF		hypothetical protein Aboo_1451	RN(0)	RN_2_5
MK_CARF_00010234	WP_012997427.1	CARF	CARF.91.FASTA	6.22E-86	3290	2574	CL1_CARF	CARF_m1	Aciduliprofundum boonei	139		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00100452	ZP_04873955.1	CARF	CARF.91.FASTA	3.46E-83	753	2575	CL1_CARF	CARF_m1	Aciduliprofundum boonei T469	139		CARF		hypothetical protein ABOONEI_510	RN(0)	RN_2_5
MK_CARF_00010274	WP_015283549.1	CARF	CARF.91.FASTA	4.36E-89	3228	2576	CL1_CARF	CARF_m1	Aciduliprofundum sp. MAR08-339	139		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00101282	YP_007247091.1	CARF	CARF.91.FASTA	4.36E-89	3228	2577	CL1_CARF	CARF_m1	Aciduliprofundum sp. MAR08-339	139		CARF		hypothetical protein AciM339_1055	RN(0)	RN_2_5
MK_CARF_00011831	WP_058947204.1	CARF	CARF.89.FASTA	4.87E-49	526	2578	CL1_CARF	CARF_m1	Thermococcus sp. 2319x1	480		CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_01000575	ALV63523.1	CARF	CARF.89.FASTA	4.87E-49	526	2579	CL1_CARF	CARF_m1	Thermococcus sp. 2319x1	480		CARF_PIN		hypothetical protein ADU37_CDS18240	RN(1)	RN_2_5
MK_CARF_00011772	WP_088856502.1	CARF	CARF.89.FASTA	1.65E-50	2943	2580	CL1_CARF	CARF_m1	Thermococcus siculi	308	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_01000574	KUH33935.1	CARF	CARF.89.FASTA	6.97E-55	4263	2581	CL1_CARF	CARF_m1	Thermococcus celericrescens	485	cd09742	CARF_PIN		hypothetical protein APY94_04185	RN(1)	RN_2_5
MK_CARF_00011600	WP_099211660.1	CARF	CARF.89.FASTA	2.71E-54	2758	2582	CL1_CARF	CARF_m1	Thermococcus sp. EXT12c	485	cd09742	CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00101061	YP_006425939.1	CARF	CARF.89.FASTA	1.7E-51	4889	2583	CL1_CARF	CARF_m1	Thermococcus cleftensis	485	pfam09623	CARF_PIN		hypothetical protein CL1_1950	RN(1)	RN_2_5
MK_CARF_01000576	AFL96145.1	CARF	CARF.89.FASTA	1.7E-51	4889	2584	CL1_CARF	CARF_m1	Thermococcus cleftensis	485	pfam09623	CARF_PIN		hypothetical protein CL1_1950	RN(1)	RN_2_5
MK_CARF_00011732	WP_014789775.1	CARF	CARF.89.FASTA	1.7E-51	4889	2585	CL1_CARF	CARF_m1	Thermococcus cleftensis	485	pfam09623	CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00101120	ZP_11215768.1	CARF	CARF.89.FASTA	1.69E-53	532	2586	CL1_CARF	CARF_m1	Thermococcus zilligii AN1	530	pfam09623	CARF_PIN		hypothetical protein TzilA_03705	RN(1)	RN_2_5
MK_CARF_01000577	gene_737|GeneMark.hmm|530_aa|-|705062|706654 AJLF01000001.1	CARF	CARF.89.FASTA	1.69E-53	532	2587	CL1_CARF	CARF_m1	Thermococcus zilligii AN1 TziAN1_1	530	pfam09623	CARF_PIN			RN(1)	RN_2_5
MK_CARF_00011805	WP_068322491.1	CARF	CARF.89.FASTA	9.15E-50	2511	2588	CL1_CARF	CARF_m1	Pyrococcus kukulkanii	481		CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_01000578	AMM54157.1	CARF	CARF.89.FASTA	9.15E-50	2511	2589	CL1_CARF	CARF_m1	Pyrococcus sp. NCB100	481		CARF_PIN		hypothetical protein TQ32_06455	RN(1)	RN_2_5
MK_CARF_00011736	WP_068575923.1	CARF	CARF.89.FASTA	1.58E-51	2847	2590	CL1_CARF	CARF_m1	Thermococcus chitonophagus	481		CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011867	WP_010884286.1	CARF	CARF.89.FASTA	2.05E-48	1942	2591	CL1_CARF	CARF_m1	Pyrococcus horikoshii	485		CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100010	NP_142177.1	CARF	CARF.89.FASTA	2.05E-48	1942	2592	CL1_CARF	CARF_m1	Pyrococcus horikoshii OT3	485		CARF_PIN		hypothetical protein PH0177	RN(1)	RN_2_5
MK_CARF_00011606	WP_011323637.1	CARF	CARF.89.FASTA	2.71E-54	3145	2593	CL1_CARF	CARF_m1	Natronomonas pharaonis	163		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_01000582	CAI50020.1	CARF	CARF.89.FASTA	2.71E-54	3145	2594	CL1_CARF	CARF_m1	Natronomonas pharaonis DSM 2160	163		CARF		uncharacterized protein NP_3858A	RN(0)	RN_2_5
MK_CARF_00011904	WP_119821943.1	CARF	CARF.89.FASTA	5.29E-48	4576	2595	CL1_CARF	CARF_m1	archaeon AArc-Sl	145		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011485	WP_015409513.1	CARF	CARF.89.FASTA	3.08E-57	2826	2596	CL1_CARF	CARF_m1	Natronomonas moolapensis	159		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011720	WP_114604774.1	CARF	CARF.89.FASTA	6.69E-52	2359	2597	CL1_CARF	CARF_m1	Haloplanus sp. CBA1112	149		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011839	WP_108384300.1	CARF	CARF.89.FASTA	4.43E-49	1953	2598	CL1_CARF	CARF_m1	Haloarculaceae archaeon HArcel1	144		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011693	WP_006054159.1	CARF	CARF.89.FASTA	1.41E-52	3152	2599	CL1_CARF	CARF_m1	Halogeometricum borinquense	144		CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011810	WP_049894480.1	CARF	CARF.89.FASTA	1.63E-49	2896	2600	CL1_CARF	CARF_m1	Salinarchaeum sp. Harcht-Bsk1	157	pfam09670	CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_01000579	ALM76270.1	CARF	CARF.89.FASTA	2.14E-57	4694	2601	CL1_CARF	CARF_m1	Thermococcus barophilus	502	cd09742	CARF_PIN		hypothetical protein TBCH5v1_2377	RN(1)	RN_2_5
MK_CARF_00011470	WP_056934692.1	CARF	CARF.89.FASTA	2.14E-57	4694	2602	CL1_CARF	CARF_m1	Thermococcus barophilus	502	cd09742	CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100825	YP_004623754.1	CARF	CARF.89.FASTA	4.7E-58	2307	2603	CL1_CARF	CARF_m1	Pyrococcus yayanosii CH1	494	cd09742	CARF_PIN		hypothetical protein PYCH_07970	RN(1)	RN_2_5
MK_CARF_01000580	AEH24482.1	CARF	CARF.89.FASTA	4.7E-58	2307	2604	CL1_CARF	CARF_m1	Pyrococcus yayanosii CH1	494	cd09742	CARF_PIN		hypothetical protein PYCH_07970	RN(1)	RN_2_5
MK_CARF_00011566	WP_013799389.1	CARF	CARF.89.FASTA	3.17E-55	1284	2605	CL1_CARF	CARF_m1	Methanotorris igneus	497	cd09728	CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100794	YP_004484855.1	CARF	CARF.89.FASTA	3.17E-55	1284	2606	CL1_CARF	CARF_m1	Methanotorris igneus Kol 5	497	cd09728	CARF_PIN		hypothetical protein	RN(1)	RN_2_5
MK_CARF_01000581	AEF96790.1	CARF	CARF.89.FASTA	3.17E-55	1284	2607	CL1_CARF	CARF_m1	Methanotorris igneus Kol 5	497	cd09728	CARF_PIN		hypothetical protein Metig_1253	RN(1)	RN_2_5
MK_CARF_00100939	ZP_09708355.1	CARF	CARF.89.FASTA	1.01E-52	2504	2608	CL1_CARF	CARF_m1	Methanotorris formicicus Mc-S-70	497	cd09728	CARF_PIN		hypothetical protein MetfoDRAFT_1737	RN(1)	RN_2_5
MK_CARF_01001797	KCZ73383.1	CARF	CARF.89.FASTA	8.26E-60	1961	2609	CL1_CARF	CARF_m1	Candidatus Methanoperedens nitroreducens	160	pfam09651	CARF		hypothetical protein ANME2D_00449	RN(1)	RN_2_5
MK_CARF_ADD00000315	RLE93423.1	CARF	CARF.296.FASTA		73a	2610	CL1_CARF	CARF_m1	Thermoprotei archaeon	164	pfam09002	CARF_TM	1	hypothetical protein DRN04_07120	RN(1)	RN_2_5
MK_CARF_ADD00000314	RLE96934.1	CARF	CARF.296.FASTA		73a	2611	CL1_CARF	CARF_m1	Thermoprotei archaeon	152	pfam09651	CARF		hypothetical protein DRJ63_09895	RN(1)	RN_2_5
MK_CARF_ADD00000346	RLF21199.1	CARF	CARF.376.FASTA		162a	2612	CL1_CARF	CARF_m1	Thermoprotei archaeon	466		CARF_PIN		hypothetical protein DRM97_07025	Non-RN	
MK_CARF_01001796	CUU38057.1	CARF	CARF.89.FASTA	2.86E-45	3209	2613	CL1_CARF	CARF_m1	Armatimonadetes bacterium DC	168	cd09723	CARF		CRISPR-associated protein NE0113 (Cas_NE0113)	RN(1)	RN_2_5
MK_CARF_ADD00000469	WP_045962473.1	CARF	CARF.195.FASTA		30a	5371	CL4_CARF	CARF_m10	Pseudoalteromonas	618		CARF_HEPN		MULTISPECIES: hypothetical protein	Non-RN	
MK_CARF_ADD00000470	WP_130164002.1	CARF	CARF.195.FASTA		30a	5372	CL4_CARF	CARF_m10	Pseudoalteromonas sp. CO348	618		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000468	WP_007469741.1	CARF	CARF.195.FASTA		110a	5373	CL4_CARF	CARF_m10	Photobacterium marinum	681		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000466	KUI97420.1	CARF	CARF.195.FASTA		29a	5374	CL4_CARF	CARF_m10	Vibrio sp. MEBiC08052	686		CARF_HEPN		hypothetical protein VRK_36090	Non-RN	
MK_CARF_ADD00000465	WP_059122472.1	CARF	CARF.195.FASTA		29a	5375	CL4_CARF	CARF_m10	Vibrio sp. MEBiC08052	682		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000464	WP_028302066.1	CARF	CARF.195.FASTA		108a	5376	CL4_CARF	CARF_m10	Oceanospirillum beijerinckii	691		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000471	EDN70064.1	CARF	CARF.195.FASTA		137a	5377	CL4_CARF	CARF_m10	Beggiatoa sp. PS	552		CARF_HEPN		hypothetical protein BGP_0316	Non-RN	
MK_CARF_ADD00000467	RJP34724.1	CARF	CARF.195.FASTA		129a	5378	CL4_CARF	CARF_m10	Candidatus Omnitrophica bacterium	560		CARF_HEPN		hypothetical protein C4527_01680	Non-RN	
MK_CARF_00010049	WP_012463196.1	CARF	CARF.467.FASTA	1.21E-116	3454	5379	CL4_CARF	CARF_m10	Methylacidiphilum infernorum	631		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_00010066	WP_015244461.1	CARF	CARF.431.FASTA	4.17E-116	3754	5380	CL4_CARF	CARF_m10	Singulisphaera acidiphila	486		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_01000780	AGA25283.1	CARF	CARF.431.FASTA	4.17E-116	3754	5381	CL4_CARF	CARF_m10	Singulisphaera acidiphila DSM 18658	486		CARF_HEPN		hypothetical protein Sinac_0878	Non-RN	
MK_CARF_01000778	gene_2853|GeneMark.hmm|507_aa|-|3268947|3270470 KB235926.1	CARF	CARF.431.FASTA	2.4E-109	325	5382	CL4_CARF	CARF_m10	cyanobacterium PCC 7702	507		CARF_HEPN			Non-RN	
MK_CARF_01000779	KXB97415.1	CARF	CARF.431.FASTA	1.03E-107	392	5383	CL4_CARF	CARF_m10	Chlorobi bacterium NICIL-2	493		CARF_HEPN		hypothetical protein AA908_07070	Non-RN	
MK_CARF_00010024	WP_100923253.1	CARF	CARF.175.FASTA	2.62E-139	26	5384	CL4_CARF	CARF_m10	Candidatus Thiodictyon syntrophicum	638		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000217	SER77552.1	CARF	CARF.304.FASTA		32a	5385	CL4_CARF	CARF_m10	Nitrosomonas sp. Nm51	558		CARF_HEPN		hypothetical protein SAMN05421690_10735	Non-RN	
MK_CARF_ADD00000216	WP_143057464.1	CARF	CARF.304.FASTA		32a	5386	CL4_CARF	CARF_m10	Nitrosomonas sp. Nm51	548		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000214	WP_028462372.1	CARF	CARF.304.FASTA		141a	5387	CL4_CARF	CARF_m10	Nitrosomonas cryotolerans	546		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_ADD00000215	WP_007039863.1	CARF	CARF.304.FASTA		132a	5388	CL4_CARF	CARF_m10	Thiorhodococcus drewsii	558		CARF_HEPN		hypothetical protein	Non-RN	
MK_CARF_00010267	WP_041696529.1	CARF	CARF.423.FASTA	1.04E-79	4758	3456	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	838		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010270	WP_041696529.1	CARF	CARF.423.FASTA	1.04E-79	4758	3457	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	838		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010269	WP_061786797.1	CARF	CARF.51.FASTA	6.12E-82	2727	3458	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	832		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010242	WP_061786797.1	CARF	CARF.51.FASTA	6.12E-82	2727	3459	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	832		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010264	WP_126378470.1	CARF	CARF.51.FASTA	9.75E-80	781	3460	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	836		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010316	WP_126378470.1	CARF	CARF.51.FASTA	9.75E-80	781	3461	CL1_CARF	CARF_m11	Pseudopropionibacterium propionicum	836		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_01000749	gene_53|GeneMark.hmm|987_aa|+|58726|61689 AUFR01000001.1	CARF	CARF.51.FASTA	1.65E-77	2707	3462	CL1_CARF	CARF_m11	Propionibacterium acidifaciens DSM 21887 K336	987		CARF_HEPNnew_CARF_Unk_01			Non-RN	
MK_CARF_00010858	WP_127842659.1	CARF	CARF.51.FASTA	7.8E-76	2777	3463	CL1_CARF	CARF_m11	Actinomyces sp. 299	836		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_00010333	WP_127842659.1	CARF	CARF.51.FASTA	7.8E-76	2777	3464	CL1_CARF	CARF_m11	Actinomyces sp. 299	836		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_01001383	ERH23577.1	CARF	CARF.51.FASTA	3.51E-70	3179	3465	CL1_CARF	CARF_m11	Actinomyces johnsonii F0510	792		CARF_HEPNnew_CARF		hypothetical protein HMPREF1549_00113	Non-RN	
MK_CARF_00010237	WP_108965812.1	CARF	CARF.423.FASTA	2.21E-86	4563	3466	CL1_CARF	CARF_m11	Actinomyces sp. Z16	1460		CARF_CorA_CARF_TM	2	hypothetical protein	Non-RN	
MK_CARF_00010190	WP_108965812.1	CARF	CARF.423.FASTA	2.21E-86	4563	3467	CL1_CARF	CARF_m11	Actinomyces sp. Z16	1460		CARF_CorA_CARF_TM	2	hypothetical protein	Non-RN	
MK_CARF_00010182	WP_128683236.1	CARF	CARF.423.FASTA	3.03E-87	2799	3468	CL1_CARF	CARF_m11	Actinomyces sp. 410	1261		CARF_CorA_CARF_TM	3	hypothetical protein	Non-RN	
MK_CARF_00010275	WP_128683236.1	CARF	CARF.423.FASTA	3.03E-87	2799	3469	CL1_CARF	CARF_m11	Actinomyces sp. 410	1261		CARF_CorA_CARF_TM	3	hypothetical protein	Non-RN	
MK_CARF_00010208	WP_053587369.1	CARF	CARF.51.FASTA	1.56E-85	790	3470	CL1_CARF	CARF_m11	Actinomyces sp. oral taxon 414	708		CARF_HEPNnew_CARF		hypothetical protein	Non-RN	
MK_CARF_01001384	ALC99927.1	CARF	CARF.51.FASTA	1.56E-85	790	3471	CL1_CARF	CARF_m11	Actinomyces sp. oral taxon 414	708		CARF_HEPNnew_CARF		hypothetical protein AM609_11480	Non-RN	
